subject_id,title,order_index,created_at,updated_at
51c7d40c-986a-4065-97b0-b876423d97a2,1: PERIODIC TABLE,1,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,2: CHEMICAL BONDING,2,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,"3: ""ACID",3,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,4: ANALYTICAL CHEMISTRY,4,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,5: MOLE CONCEPT,5,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,6: ELECTROLYSIS,6,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,7: METALLURGY,7,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,8: HYDROGEN CHLORIDE,8,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,9: AMMONIA,9,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,10: NITRIC ACID,10,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,11: SULPHURIC ACID,11,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,12: ORGANIC CHEMISTRY,12,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,13: PRACTICAL CHEMISTRY,13,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,14: GOODS AND SERVICE TAX,14,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,15: BANKING,15,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
51c7d40c-986a-4065-97b0-b876423d97a2,16: SHARES AND DIVIDENDS,16,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
